id,title,detected_microskills,detected_categories,detected_evidence,detected_microskills_count
3317,Payroll Outsourcing Professionals - Στελέχη Μισθοδοσίας (PP0824),"[""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση χρόνου"", ""Οργάνωση και διαχείριση εργασιακών διαδικασιών""]","[""Επαγγελματική Επικοινωνία"", ""Προσωπική Διαχείριση""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 4, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + client"", ""communication + customer""]}, ""Διαχείριση χρόνου"": {""score"": 3, ""keywords"": [""time management""], ""semantic_groups"": [""meet + deadlin""]}, ""Οργάνωση και διαχείριση εργασιακών διαδικασιών"": {""score"": 2, ""keywords"": [""manag process""], ""semantic_groups"": []}}",3
3410,Full-Stack Developer,"[""Διαχείριση χρόνου""]","[""Προσωπική Διαχείριση""]","{""Διαχείριση χρόνου"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""prioritize + task""]}}",1
3411,Senior Full-Stack Developer,"[""Διαχείριση χρόνου""]","[""Προσωπική Διαχείριση""]","{""Διαχείριση χρόνου"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""prioritize + task""]}}",1
3412,Test Automation Leader,"[""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",1
3488,FINANCIAL MANAGER - CFO,[],[],{},0
3956,Administrative Assistant (Telesales),"[""Σαφής και συνοπτική επικοινωνία"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Επαγγελματική Επικοινωνία"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + customer""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""record + keep""]}}",2
3995,Accounting and Payroll Clerk,"[""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""update + record""]}}",1
4026,Telephone Bank Customer Service Representative (Patra),[],[],{},0
4049,WAREHOUSE,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}}",1
4051,SIGNAL RECEIVING CENTER OPERATOR,"[""Σύνταξη επαγγελματικών email"", ""Σαφής και συνοπτική επικοινωνία""]","[""Ψηφιακή Παραγωγικότητα και ΤΝ"", ""Επαγγελματική Επικοινωνία""]","{""Σύνταξη επαγγελματικών email"": {""score"": 2, ""keywords"": [""writ mail""], ""semantic_groups"": []}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}}",2
4065,SALES EXECUTIVE (eShop),"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}}",1
4078,Social Media Manager,[],[],{},0
4091,Telephone Sales Executives €800 Salary + Bonus,[],[],{},0
4096,MARKETING/BACKOFFICE,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + customer""]}}",1
4113,Warehouse Clerk,"[""Διαχείριση προσοχής και συγκέντρωσης""]","[""Προσωπική Διαχείριση""]","{""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}}",1
2291,Front End Developer ( middle level ),"[""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""identify + need""]}}",2
43903,.NET Developer,[],[],{},0
43904,"Senior Manager, Frontend Development, Web Publishing","[""Ενεργητική ακρόαση"", ""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Ενεργητική ακρόαση"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""understand + need"", ""identify + need""]}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}}",2
59892,Senior Java Web Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + client""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""identify + need""]}}",2
111739,Senior Java Web Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + client""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""identify + need""]}}",2
1696174,Net Full Stack Developer,[],[],{},0
1766807,SOFTWARE DEVELOPER,[],[],{},0
1767008,Senior Java Web Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + client""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""identify + need""]}}",2
1827084,Senior Java Web Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + client""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""identify + need""]}}",2
1842379,Junior Web Developer & Content Manager,"[""Διαχείριση προσοχής και συγκέντρωσης"", ""Σαφής και συνοπτική επικοινωνία""]","[""Προσωπική Διαχείριση"", ""Επαγγελματική Επικοινωνία""]","{""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 2, ""keywords"": [""excellent communication""], ""semantic_groups"": []}}",2
1844163,WEB DEVELOPER,[],[],{},0
1844963,WEB DEVELOPER,[],[],{},0
1860318,Frontend developer / software engineer (JavaScript),"[""Διαχείριση χρόνου"", ""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Προσωπική Διαχείριση"", ""Επαγγελματική Επικοινωνία"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Διαχείριση χρόνου"": {""score"": 4, ""keywords"": [""time management"", ""task plan""], ""semantic_groups"": []}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""communication + customer"", ""communication + stakeholder""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""identify + need""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""document + management""]}}",4
1906683,Front-End Software Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση προσοχής και συγκέντρωσης"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία"", ""Προσωπική Διαχείριση""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 5, ""keywords"": [""written verbal communication"", ""verbal communication""], ""semantic_groups"": [""communication + customer""]}, ""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}, ""Ενεργητική ακρόαση"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""understand + need"", ""identify + need""]}}",3
1907830,Full Stack Developer,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 5, ""keywords"": [""written verbal communication"", ""verbal communication""], ""semantic_groups"": [""communication + customer""]}}",1
1909326,Junior IoT Developer @ Thessaloniki,"[""Σαφής και συνοπτική επικοινωνία"", ""Σύνταξη επαγγελματικών email""]","[""Επαγγελματική Επικοινωνία"", ""Ψηφιακή Παραγωγικότητα και ΤΝ""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 6, ""keywords"": [""oral written communication"", ""written communication""], ""semantic_groups"": [""communication + client"", ""communication + customer""]}, ""Σύνταξη επαγγελματικών email"": {""score"": 2, ""keywords"": [""written communication""], ""semantic_groups"": []}}",2
2082549,WEB DEVELOPER,[],[],{},0
2773837,Full Stack Developer,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 5, ""keywords"": [""written verbal communication"", ""verbal communication""], ""semantic_groups"": [""communication + customer""]}}",1
2774497,WEB DEVELOPER,[],[],{},0
2783345,Junior IoT Developer @ Thessaloniki,"[""Σαφής και συνοπτική επικοινωνία"", ""Σύνταξη επαγγελματικών email"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία"", ""Ψηφιακή Παραγωγικότητα και ΤΝ""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 6, ""keywords"": [""oral written communication"", ""written communication""], ""semantic_groups"": [""communication + client"", ""communication + customer""]}, ""Σύνταξη επαγγελματικών email"": {""score"": 2, ""keywords"": [""written communication""], ""semantic_groups"": []}, ""Ενεργητική ακρόαση"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""understand + need"", ""identify + need""]}}",3
1704,Junior Java / Web Developer,"[""Διαχείριση προσοχής και συγκέντρωσης""]","[""Προσωπική Διαχείριση""]","{""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 2, ""keywords"": [""quality orient""], ""semantic_groups"": []}}",1
4086,IT Consultant (Cobol Developer),"[""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 5, ""keywords"": [""written verbal communication"", ""verbal communication""], ""semantic_groups"": [""communication + client""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",2
43138,"Sr. Associate, Software Engineer","[""Διαχείριση προσοχής και συγκέντρωσης""]","[""Προσωπική Διαχείριση""]","{""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}}",1
43914,"Manager, Platform Software Engineer","[""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση προσοχής και συγκέντρωσης"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία"", ""Προσωπική Διαχείριση""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + customer""]}, ""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}, ""Ενεργητική ακρόαση"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""understand + need"", ""identify + need""]}}",3
53621,Full Stack Java Developer,"[""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 2, ""keywords"": [""excellent communication""], ""semantic_groups"": []}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",2
54008,"Sr. Manager, Customer Journey & Automation Engineering","[""Διαχείριση προσοχής και συγκέντρωσης"", ""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση χρόνου"", ""Ενεργητική ακρόαση""]","[""Προσωπική Διαχείριση"", ""Επαγγελματική Επικοινωνία""]","{""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""communication + customer"", ""communication + stakeholder""]}, ""Διαχείριση χρόνου"": {""score"": 1, ""keywords"": [""prioritization""], ""semantic_groups"": []}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",4
61711,SQL Developer (Mid-Senior),[],[],{},0
61716,SQL Developer (Mid-Senior),[],[],{},0
61717,SQL Developer (Mid-Senior),[],[],{},0
61833,Front-End Developer,[],[],{},0
61948,PL/SQL Developer,[],[],{},0
61950,PL/SQL Developer,[],[],{},0
76046,IT Consultant (Cobol Developer),"[""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 5, ""keywords"": [""written verbal communication"", ""verbal communication""], ""semantic_groups"": [""communication + client""]}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",2
80897,FULL STACK SOFTWARE DEVELOPER,[],[],{},0
81153,PHP Developer,"[""Διαχείριση χρόνου"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Προσωπική Διαχείριση"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""fast pac environment""], ""semantic_groups"": []}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""maintain + database""]}}",2
92964,Full-Stack Software Developer - Remote - NYC Fintech,[],[],{},0
100772,Associate .Net C# Software Engineer,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""communication + client"", ""communication + customer""]}}",1
100778,.Net Full Stack Developer,[],[],{},0
100779,.Net Full Stack Developer,[],[],{},0
101005,Senior Full Stack Developer (PHP & JavaScript),"[""Διαχείριση προσοχής και συγκέντρωσης""]","[""Προσωπική Διαχείριση""]","{""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}}",1
101133,Software Developer & Engineering Experienced Consultant,"[""Αυτοματοποίηση επαναλαμβανόμενων εργασιών"", ""Σαφής και συνοπτική επικοινωνία""]","[""Ψηφιακή Παραγωγικότητα και ΤΝ"", ""Επαγγελματική Επικοινωνία""]","{""Αυτοματοποίηση επαναλαμβανόμενων εργασιών"": {""score"": 4, ""keywords"": [""streamline process""], ""semantic_groups"": [""automate + process"", ""streamline + process""]}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""communication + client"", ""communication + stakeholder""]}}",2
1695266,Junior .Net Developer,"[""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",1
1695278,"Associate, Developer Enablement","[""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση προσοχής και συγκέντρωσης"", ""Σύνταξη επαγγελματικών email"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία"", ""Προσωπική Διαχείριση"", ""Ψηφιακή Παραγωγικότητα και ΤΝ""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 6, ""keywords"": [""effective communication"", ""written communication""], ""semantic_groups"": [""communication + customer"", ""communication + stakeholder""]}, ""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""detail orient""], ""semantic_groups"": [""data + accuracy""]}, ""Σύνταξη επαγγελματικών email"": {""score"": 2, ""keywords"": [""written communication""], ""semantic_groups"": []}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""identify + need""]}}",4
1726337,PHP Developer,"[""Διαχείριση χρόνου"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Προσωπική Διαχείριση"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""fast pac environment""], ""semantic_groups"": []}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""maintain + database""]}}",2
1726398,Software Developer,"[""Διαχείριση προσοχής και συγκέντρωσης"", ""Οργάνωση ψηφιακού χώρου εργασίας"", ""Διαχείριση χρόνου""]","[""Προσωπική Διαχείριση"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""document + management""]}, ""Διαχείριση χρόνου"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""prioritize + task""]}}",3
1741385,.Net Full Stack Developer,[],[],{},0
1741386,Associate .Net C# Software Engineer,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""communication + client"", ""communication + customer""]}}",1
1741810,Junior Java Web Developer / Tester (Remote/Thessaloniki),"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + client""]}}",1
1742790,Senior Full Stack Developer (PHP & JavaScript),"[""Διαχείριση προσοχής και συγκέντρωσης""]","[""Προσωπική Διαχείριση""]","{""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}}",1
1783610,Junior .Net Developer,"[""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",1
1826559,Senior .Net C# Software Engineer,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [], ""semantic_groups"": [""communication + client"", ""communication + customer"", ""communication + stakeholder""]}}",1
1826560,.Net Full Stack Developer,[],[],{},0
1827198,.NET Full-Stack Developer,"[""Αυτοματοποίηση επαναλαμβανόμενων εργασιών"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Ψηφιακή Παραγωγικότητα και ΤΝ"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Αυτοματοποίηση επαναλαμβανόμενων εργασιών"": {""score"": 2, ""keywords"": [""automat task""], ""semantic_groups"": []}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""maintain + database""]}}",2
1844159,Angular Front-End Software Engineer,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [], ""semantic_groups"": [""communication + client"", ""communication + customer"", ""communication + stakeholder""]}}",1
1844736,.Net C# Software Engineer,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""communication + client"", ""communication + customer""]}}",1
1845173,Mid-Level/Senior Full Stack Developer (Remote),"[""Διαχείριση προσοχής και συγκέντρωσης"", ""Αυτοματοποίηση επαναλαμβανόμενων εργασιών""]","[""Προσωπική Διαχείριση"", ""Ψηφιακή Παραγωγικότητα και ΤΝ""]","{""Διαχείριση προσοχής και συγκέντρωσης"": {""score"": 3, ""keywords"": [""attention detail""], ""semantic_groups"": [""attention + detail""]}, ""Αυτοματοποίηση επαναλαμβανόμενων εργασιών"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""streamline + process""]}}",2
1860685,.NET Full Stack Developer,[],[],{},0
1906257,Angular Front-End Software Engineer,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [], ""semantic_groups"": [""communication + client"", ""communication + customer"", ""communication + stakeholder""]}}",1
1907909,Experienced Full Stack Developer,[],[],{},0
1909319,Senior .Net C# Software Engineer,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [], ""semantic_groups"": [""communication + client"", ""communication + customer"", ""communication + stakeholder""]}}",1
1939749,Senior .Net C# Software Engineer,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [], ""semantic_groups"": [""communication + client"", ""communication + customer"", ""communication + stakeholder""]}}",1
1952359,Software Developer Mik3 to,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""excellent communication""], ""semantic_groups"": [""communication + customer""]}}",1
2081545,Senior .Net C# Software Engineer,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [], ""semantic_groups"": [""communication + client"", ""communication + customer"", ""communication + stakeholder""]}}",1
2779654,Java Full-Stack Web Developer,[],[],{},0
2780972,Full Stack Developer (PHP),"[""Διαχείριση χρόνου""]","[""Προσωπική Διαχείριση""]","{""Διαχείριση χρόνου"": {""score"": 3, ""keywords"": [""meet deadlin""], ""semantic_groups"": [""meet + deadlin""]}}",1
87,HR Generalist (Payroll & Recruitment),"[""Διαχείριση χρόνου"", ""Ενεργητική ακρόαση""]","[""Προσωπική Διαχείριση"", ""Επαγγελματική Επικοινωνία""]","{""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""time management""], ""semantic_groups"": []}, ""Ενεργητική ακρόαση"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""understand + need""]}}",2
88,HR Generalist,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + client""]}}",1
226,SALES DEVELOPMENT OFFICER based in the Prefecture of Attica (Fixed Term),"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}}",1
227,SALES DEVELOPMENT OFFICER based in the Prefecture of Attica,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}}",1
306,Maintenance Electrician/ Maintenance Refrigeration (2024),[],[],{},0
338,Plant Manager based in Crete,"[""Σαφής και συνοπτική επικοινωνία"", ""Διαχείριση χρόνου""]","[""Επαγγελματική Επικοινωνία"", ""Προσωπική Διαχείριση""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""strong communication""], ""semantic_groups"": [""communication + client""]}, ""Διαχείριση χρόνου"": {""score"": 2, ""keywords"": [""fast pac environment""], ""semantic_groups"": []}}",2
341,SALES DEVELOPMENT OFFICER based in Corfu,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}}",1
353,Resourcing Consultant,"[""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""strong communication""], ""semantic_groups"": [""communication + client""]}, ""Ενεργητική ακρόαση"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""understand + need"", ""identify + need""]}}",2
359,Resourcing Consultant,"[""Σαφής και συνοπτική επικοινωνία"", ""Ενεργητική ακρόαση""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 3, ""keywords"": [""strong communication""], ""semantic_groups"": [""communication + client""]}, ""Ενεργητική ακρόαση"": {""score"": 2, ""keywords"": [], ""semantic_groups"": [""understand + need"", ""identify + need""]}}",2
362,Winback Telesales Agent,"[""Σαφής και συνοπτική επικοινωνία""]","[""Επαγγελματική Επικοινωνία""]","{""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}}",1
377,Assistant Accountant,"[""Διαχείριση χρόνου"", ""Σαφής και συνοπτική επικοινωνία"", ""Οργάνωση ψηφιακού χώρου εργασίας""]","[""Προσωπική Διαχείριση"", ""Επαγγελματική Επικοινωνία"", ""Διαχείριση Δεδομένων και Πληροφορίας""]","{""Διαχείριση χρόνου"": {""score"": 3, ""keywords"": [""meet deadlin""], ""semantic_groups"": [""meet + deadlin""]}, ""Σαφής και συνοπτική επικοινωνία"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""communication + customer""]}, ""Οργάνωση ψηφιακού χώρου εργασίας"": {""score"": 1, ""keywords"": [], ""semantic_groups"": [""record + keep""]}}",3
411,General Manager - Karditsa,"[""Παρακολούθηση και έλεγχος δεικτών απόδοσης""]","[""Διοικητική Υποστήριξη""]","{""Παρακολούθηση και έλεγχος δεικτών απόδοσης"": {""score"": 2, ""keywords"": [""monitor performance metric""], ""semantic_groups"": []}}",1
